id,ra_deg,dec_deg,magnitude,names
star/j205700+411012,314.25,41.17,3.94,
star/j010824-551500,17.1,-55.25,3.94,
star/j074124-093300,115.35,-9.55,3.94,
star/j132400+545512,201.0,54.92,3.95,
star/j031200-285924,48.0,-28.99,3.95,
star/j020336+722512,30.9,72.42,3.95,
star/j063636-191536,99.15,-19.26,3.96,
star/j192400-403712,291.0,-40.62,3.96,
star/j091124-621912,137.84999,-62.32,3.96,
star/j201536+474236,303.9,47.71,3.96,
star/j192248-442736,290.69998,-44.46,3.96,
star/j224648+233412,341.7,23.57,3.96,
star/j055924-424912,89.85,-42.82,3.96,
star/j040824+474236,62.1,47.71,3.96,
star/j232248-200600,350.69998,-20.1,3.96,
star/j200036-725436,300.15,-72.91,3.97,
star/j121124-522212,182.84999,-52.37,3.97,
star/j042400-340112,66.0,-34.02,3.97,
star/j222924-433000,337.35,-43.5,3.97,
star/j055136+390900,87.9,39.15,3.97,
star/j084012-351836,130.05,-35.31,3.97,
star/j071648-675736,109.200005,-67.96,3.97,
star/j155100-333748,237.75,-33.63,3.97,
star/j213412+453524,323.55,45.59,3.98,
star/j035848+354724,59.7,35.79,3.98,
star/j231724-581424,349.35,-58.24,3.99,
star/j020000-210448,30.0,-21.08,3.99,
star/j061500-061612,93.75,-6.27,3.99,
star/j112400+103148,171.0,10.53,4.0,
star/j161200-192736,243.00002,-19.46,4.0,
star/j102436-740148,156.15,-74.03,4.0,
star/j070412+203412,106.05,20.57,4.01,
star/j132512+545924,201.3,54.99,4.01,
star/j014348+504124,25.95,50.69,4.01,
star/j144200-374724,220.5,-37.79,4.01,
star/j090224-662400,135.6,-66.4,4.01,
star/j071500-264612,108.75,-26.77,4.01,
star/j160148+583336,240.45001,58.56,4.01,
star/j202924+302212,307.35,30.37,4.01,
star/j184312-712548,280.8,-71.43,4.01,
star/j044536-031500,71.4,-3.25,4.01,
star/j161948-500936,244.95,-50.16,4.02,
star/j190148-054424,285.45,-5.74,4.02,
star/j120824-244348,182.1,-24.73,4.02,
star/j185924+150412,284.85,15.07,4.02,
star/j085024-274236,132.6,-27.71,4.02,
star/j125436-571048,193.65,-57.18,4.03,
star/j084648+284536,131.7,28.76,4.03,
star/j050336+602624,75.9,60.44,4.03,
star/j021724+335100,34.35,33.85,4.03,
star/j235924+065136,359.85,6.86,4.03,
star/j203300+111800,308.25,11.3,4.03,
star/j114536+063148,176.40001,6.53,4.04,
star/j223524-000712,338.85,-0.12,4.04,
star/j041200-065024,62.999996,-6.84,4.04,
star/j030900+493636,47.25,49.61,4.05,
star/j224948-133524,342.45,-13.59,4.05,
star/j134912+154800,207.29999,15.8,4.05,
star/j143748-492548,219.45,-49.43,4.05,
star/j142024-375324,215.1,-37.89,4.05,
star/j112100+060148,170.25,6.03,4.05,
star/j112436-174048,171.15,-17.68,4.06,
star/j121836-640000,184.65001,-64.0,4.06,
star/j045624+133036,74.1,13.51,4.06,
star/j121724-675736,184.35,-67.96,4.06,
star/j144348-351012,220.95,-35.17,4.06,
star/j084424-423900,131.09999,-42.65,4.06,
star/j073600+265400,114.0,26.9,4.06,
star/j142512+515100,216.3,51.85,4.06,
star/j165924-530936,254.84999,-53.16,4.06,
star/j222924+582512,337.35,58.42,4.07,
star/j081836-765512,124.65001,-76.92,4.07,
star/j151724-584800,229.35,-58.8,4.07,
star/j150900-451648,227.25,-45.28,4.07,
star/j212212+194800,320.55002,19.8,4.08,
star/j030224-233712,45.6,-23.62,4.08,
star/j022136-683936,35.399998,-68.66,4.08,
star/j093412-591348,143.54999,-59.23,4.08,
star/j065400-120224,103.5,-12.04,4.08,
star/j023936+001948,39.9,0.33,4.08,
star/j141612-060000,214.05,-6.0,4.08,
star/j110000-181800,165.0,-18.3,4.08,
star/j185512+435700,283.8,43.95,4.08,
star/j210600-171348,316.5,-17.23,4.08,
